(0, 0, 44, 1),
(144, -105, 155, 1),
(-55, -169, 155, 1),
(-178, 0, 155, 1),
(-55, 169, 155, 1),
(144, 105, 155, 1),
(55, -169, 333, 1),
(-144, -105, 333, 1),
(-144, 105, 333, 1),
(55, 169, 333, 1),
(178, 0, 333, 1),
(0, 0, 444, 1),
(-32, -99, 74, 1),
(84, -61, 74, 1),
(52, -161, 139, 1),
(169, 0, 139, 1),
(84, 61, 74, 1),
(-105, 0, 74, 1),
(-137, -99, 139, 1),
(-32, 99, 74, 1),
(-137, 99, 139, 1),
(52, 161, 139, 1),
(190, -61, 244, 1),
(190, 61, 244, 1),
(0, -199, 244, 1),
(117, -161, 244, 1),
(-190, -61, 244, 1),
(-117, -161, 244, 1),
(-117, 161, 244, 1),
(-190, 61, 244, 1),
(117, 161, 244, 1),
(0, 199, 244, 1),
(137, -99, 349, 1),
(-52, -161, 349, 1),
(-169, 0, 349, 1),
(-52, 161, 349, 1),
(137, 99, 349, 1),
(32, -99, 414, 1),
(105, 0, 414, 1),
(-84, -61, 414, 1),
(-84, 61, 414, 1),
(32, 99, 414, 1),
